_id,ltable_reviewid,rtable_id,ltable_title,ltable_artist,ltable_year,rtable_title,rtable_artist,rtable_year,label
227654,9317,628610,garden cities of to-morrow,lullaby baxter,2006,garden cities of to-morrow,lullaby baxter/lullaby baxter,2006,1
570205,20082,817029,where in our woods,elephant micah,2015,where in our woods,elephant micah/elephant micah,2015,1
113993,716,150834,let me in,bobby birdman,2001,let me in,hot hot heat/hot hot heat,2007,0
206240,671,148450,heroes to zeros,the beta band,2004,heroes to zeros,the beta band/the beta band,2004,1
591853,9922,599875,out of the blue,electric light orchestra,1977/2007,out of the blue,little nemo,2013,0
389878,9515,210537,remember the night parties,oxford collapse,2006,remember the night parties,oxford collapse/oxford collapse,2006,1
276436,21670,999225,wayfaring strangers: cosmic american music,various artists,2016,wayfaring strangers: cosmic american music,various,2016,1
317298,11158,84717,some people have real problems,sia,2008,some people have real problems,sia,2008,1
421041,1564,179130,like water for chocolate,common,2000,like water for chocolate,common/common,2000,1
206847,22609,1088591,ded sec - watch dogs 2 (ost),hudson mohawke,2016,ded sec - watch dogs 2 (ost),hudson mohawke/hudson mohawke,2016,1
278457,1834,164375,out of the ashes,jessi colter,2006,out of the ashes,godslave/godslave,2008,0
145348,13779,177734,gone: the promises of yesterday,24-carat black,2009,gone: the promises of yesterday,24 carat black/24 carat black,2009,1
441118,17245,209061,no can do,ladyhawk,2012,no can do,denniz/denniz,1999,0
674259,11686,1020401,the best of,radiohead,2008,the best of,billy ocean/billy ocean,2005,0
373,10682,82678,our ill wills,shout out louds,2007,our ill wills,shout out louds/shout out louds,2007,1
413083,11185,976066,the golden age,american music club,2008,the golden age,map.ache/map.ache,2015,0
449321,22584,1080985,origin of what,tyvek,2016,origin of what,tyvek/tyvek,2016,1
557507,20605,841853,"how big, how blue, how beautiful",florence and the machine,2015,"how big, how blue, how beautiful",florence and the machine/florence and the machine,2015,1
176197,6356,295299,you are here,+/-,2003,you are here,+/- (plus / minus)/+/- (plus / minus),2003,1
489416,16266,882072,live from the kitchen,yo gotti,2012,live from the kitchen,los babies/los babies,2012,1
570211,15877,373186,the sunday gift,blue daisy,2011,the sunday gift,blue daisy/blue daisy,2011,1
573073,21827,962570,it kindly stopped for me,sorority noise,2016,it kindly stopped for me,sorority noise,2016,1
472799,13802,188516,the dance paradox,redshape,2009,the dance paradox,redshape/redshape,2009,1
209752,11282,147912,the felice brothers,the felice brothers,2008,the felice brothers,the felice brothers,2008,1
395035,7472,787272,set yourself on fire,stars,2004,set yourself on fire,envy (6)/envy (6),2010,0
153791,21458,951863,here come the rattling trees,the high llamas,2016,here come the rattling trees,the high llamas/the high llamas,2016,1
673181,15264,725936,house of balloons,the weeknd,2011,house of balloons,the weeknd/the weeknd,2013,1
265882,10055,169756,aman iman: water is life,tinariwen,2007,aman iman: water is life,tinariwen/tinariwen,2007,1
416382,16813,777170,whispers in the dark,supreme cuts,2012,whispers in the dark,profyle/profyle,1999,0
282746,63,52377,sleep and release,aereogramme,2003,sleep and release,aereogramme/aereogramme,2003,1
408667,4024,56638,i've visited the island of jocks and jazz,the hospitals,2005,i've visited the island of jocks and jazz,the hospitals/the hospitals,2005,1
313046,1378,178411,distance and clime,centro-matic,2001,distance and clime,centro-matic/centro-matic,2001,1
178738,14619,278718,album of the year,black milk,2010,album of the year,black milk/black milk,2010,1
347453,17421,424264,living with ghosts,sigha,2012,living with ghosts,smoke fairies/smoke fairies,2008,1
607175,16566,702009,black is beautiful,dean blunt and inga copeland,2012,black is beautiful,rolling blackouts/rolling blackouts,2004,0
207250,17145,463345,"total breakdown: hidden transmissions from the mpc era, 1992-1996",dj shadow,2012,"total breakdown: hidden transmissions from the mpc era, 1992-1996",dj shadow/dj shadow,2012,1
880,3429,235954,rollin in the ruins,get hustle,2005,rollin in the ruins,get hustle/get hustle,2005,1
115148,11978,219001,"a guide to love, loss & desperation",the wombats,2008,"a guide to love, loss & desperation",the wombats/the wombats,2007,1
423338,6921,1119780,up all night,razorlight,2004,up all night,agoria,2016,0
551219,15791,694598,garden of arms,peter wolf crier,2011,garden of arms,peter wolf crier,2011,1
601990,12535,262635,"living is hard: west african music in britain, 1927-1929",various artists,2008,"living is hard: west african music in britain, 1927-1929",various/various,2008,1
356784,17886,563857,the new life,girls names,2013,the new life,girls names/girls names,2012,1
354826,8818,10085,for frosty mornings and summer nights,xela,2003,for frosty mornings and summer nights,xela/xela,2003,1
157567,18403,1073374,ritual tradition habit,the belle game,2013,ritual tradition habit,the belle game/the belle game,2013,1
326238,7701,252652,living in america,sounds,2003,living in america,the sounds/the sounds,2002,1
402759,22092,795724,live at third man records,scharpling & wurster,2016,live at third man records,benjamin booker,2015,0
328905,13245,718148,wait for me,moby,2009,wait for me,kings of leon/kings of leon,2014,0
641707,18733,615877,the marshall mathers lp 2,eminem,2013,the marshall mathers lp 2,eminem/eminem,2013,1
631132,21421,930508,from my mind to yours,richie hawtin,2015,from my mind to yours,richie hawtin/richie hawtin,2015,1
475812,7338,886537,didn't it rain,songs: ohia,2002,didn't it rain,amy helm/amy helm,2015,0
574076,12175,64036,carried to dust,calexico,2008,carried to dust,calexico/calexico,2008,1
83496,21521,795245,all i need,foxes,2016,all i need,aurosonic/frainbreeze/katty heath,2014,0
188941,4350,723750,the ultimate collection,michael jackson,2004,the ultimate collection,ray charles,2014,0
204916,14721,362003,life! death! prizes!,shrag,2010,life! death! prizes!,shrag/shrag,2010,1
314225,16245,122211,keep it together,the doozer,2012,keep it together,alexis p. suter/alexis p. suter/glenn turner/glenn turner/revisionaries/revisionaries,1999,0
488719,4014,823349,the ultimate collection,billie holiday,2005,the ultimate collection,air supply/air supply,1999,0
619492,10558,402416,the hair the tv the baby & the band,imperial teen,2007,the hair the tv the baby & the band,imperial teen/imperial teen,2007,1
375351,9682,45768,the rakamonie ep,robyn,2006,the rakamonie ep,robyn/robyn,2006,1
277311,11618,553436,in the meantime,kid static,2008,in the meantime,watershed/watershed,2002,0
113026,5032,1069006,back to the front,the magic band,2003,back to the front,never (7)/never (7),2010,0
326233,15995,376000,in animal tongue,evangelista,2011,in animal tongue,evangelista (2)/evangelista (2),2011,1
563440,8026,756651,live from austin tx,richard thompson,2005,live from austin tx,steve earle/steve earle,2004,0
329028,7398,1027762,it's a wonderful life,sparklehorse,2001,it's a wonderful life,pimp daddy nash/pimp daddy nash,2003,0
427675,9482,594046,trying to never catch up,what made milwaukee famous,2006,trying to never catch up,what made milwaukee famous/what made milwaukee famous,2006,1
74790,15276,326631,alela diane & wild divine,alela diane,2011,alela diane & wild divine,alela diane/alela diane,2011,1
386483,2941,93313,my ghetto report card,e-40,2006,my ghetto report card,e-40/e-40,2006,1
613452,9130,265326,fast man raider man,frank black,2006,fast man raider man,frank black/frank black,2006,1
90691,8038,147736,let's bottle bohemia,the thrills,2004,let's bottle bohemia,the thrills/the thrills,2004,1
293604,9589,459161,...until the world is beautiful,the prids,2006,...until the world is beautiful,the prids/the prids,2006,1
456079,21525,962539,how to dance,mount moriah,2016,how to dance,mount moriah/mount moriah,2016,1
674465,16647,451171,go! pop! bang!,rye rye,2012,go! pop! bang!,rye rye/rye rye,2012,1
214733,2657,179880,all harm ends here,early day miners,2005,all harm ends here,early day miners/early day miners,2005,1
106146,18067,686363,live in concert,wiz khalifa & curren$y,2013,live in concert,clannad,2005,0
667742,441,109830,in case we die,architecture in helsinki,2005,in case we die,architecture in helsinki/architecture in helsinki,2005,1
118836,13670,191881,what we all come to need,pelican,2009,what we all come to need,pelican (2)/pelican (2),2009,1
198559,15351,325858,music sounds better with you,acid house kings,2011,music sounds better with you,acid house kings/acid house kings,2011,1
247490,18732,612804,who is william onyeabor?,william onyeabor,2013,who is william onyeabor?,william onyeabor/william onyeabor,2013,1
590773,9526,81316,born in the u.k.,badly drawn boy,2006,born in the u.k.,badly drawn boy/badly drawn boy,2006,1
360626,21017,958262,ultimate care ii,matmos,2016,ultimate care ii,matmos,2016,1
502657,218,263155,the fugue in the fog,apes,2001,the fugue in the fog,the apes/the apes,2001,1
134390,7778,179194,godfather buried alive,shyne,2004,godfather buried alive,shyne/shyne,2004,1
391336,11407,53113,in ghost colours,cut copy,2008,in ghost colours,cut copy/cut copy,2008,1
43502,4025,17483,speak for yourself,imogen heap,2005,speak for yourself,imogen heap,2005,1
152640,15961,378298,bad as me,tom waits,2011,bad as me,tom waits/tom waits,2011,1
84738,14219,243582,wake up the nation,paul weller,2010,wake up the nation,paul weller,2010,1
196170,410,994104,terra nova ep,the austerity program,2003,terra nova ep,the austerity program/the austerity program,2002,1
681372,22708,1114592,do what thou wilt.,ab-soul,2016,do what thou wilt.,ab-soul,2016,1
498189,9224,20638,black ships ate the sky,current 93,2006,black ships ate the sky,current 93/current 93,2006,1
312432,14965,175754,in the house,tensnake,2010,in the house,gilles peterson/gilles peterson,2008,0
242475,8908,142358,brothers from another,young gunz,2005,brothers from another,young gunz/young gunz,2005,1
582774,14604,276359,skit i allt,dungen,2010,skit i allt,dungen/dungen,2010,1
617088,9287,274668,the complete bbc peel sessions,the delgados,2006,the complete bbc peel sessions,stupids,2008,0
242335,15254,1136014,on a mission,katy b,2011,on a mission,dj björn/dj björn,1999,0
49828,19050,664260,no mythologies to follow,m,2014,no mythologies to follow,mø/mø,2014,1
142462,14538,344514,proximity one: narrative of a city,various artists,2010,proximity one: narrative of a city,various/various,2010,1
97781,12066,481305,don't be a stranger,the moondoggies,2008,don't be a stranger,mark eitzel/mark eitzel,2012,0
142346,7014,158958,crossing with switchblades,scared of chaka,2001,crossing with switchblades,scared of chaka/scared of chaka,2001,1
524980,13057,139398,the freak of araby,sir richard bishop,2009,the freak of araby,rick bishop/rick bishop,2009,1
17470,17031,472164,the predicting machine,john tejada,2012,the predicting machine,john tejada/john tejada,2012,1
308229,11478,121293,my bloody underground,the brian jonestown massacre,2008,my bloody underground,the brian jonestown massacre/the brian jonestown massacre,2008,1
430863,19846,758600,right from real,lydia ainsworth,2014,right from real,lydia ainsworth/lydia ainsworth,2014,1
469256,9846,565998,the definitive rock collection,the faces,2007,the definitive rock collection,love/love,2006,0
237374,15450,437414,suck it and see,arctic monkeys,2011,suck it and see,arctic monkeys/arctic monkeys,2011,1
98406,3510,296670,truly she is none other,holly golightly,2003,truly she is none other,holly golightly/holly golightly,2003,1
110431,14965,196775,in the house,tensnake,2010,in the house,dj jazzy jeff/dj jazzy jeff,2004,0
398115,12843,36046,take my breath away,gui boratto,2009,take my breath away,hannah alethea/hannah alethea/soda club/soda club,2002,0
571664,4461,116638,be gentle with the warm turtle,kinski,2001/2002,be gentle with the warm turtle,kinski,2000,1
326814,22386,1071914,open to chance,itasca,2016,open to chance,itasca/itasca,2016,1
403730,4450,9332,riot on an empty street,kings of convenience,2004,riot on an empty street,kings of convenience,2004,1
446721,15259,323417,all eternals deck,the mountain goats,2011,all eternals deck,the mountain goats,2011,1
